case_name,mass_eV,A_unit,Rtau_max_unit,L_peak,nphi,Lcut,phi_needed_target_0.1,phi_needed_target_1,phi_needed_target_10
nphi_1_no_cut,1e-35,-195.4023529707972,40152.16908739088,330,1.0,,0.0015781398782372122,0.004990516481570382,0.01578139878237212
nphi_1_no_cut,1.7012542798525996e-35,-565.5464092138668,336345.740449849,330,1.0,,0.0005452642621376538,0.0017242769950460974,0.005452642621376538
nphi_1_no_cut,2.89426612471674e-35,-1636.841689175934,2817492.6308597047,330,1.0,,0.00018839466734247727,0.0005957562478319692,0.0018839466734247726
nphi_1_no_cut,4.923882631706751e-35,-4737.453435648046,23601485.683738135,330,1.0,,6.509240665125731e-05,0.0002058402633998666,0.0006509240665125731
nphi_1_no_cut,8.376776400682855e-35,-13711.444315491368,197704175.63883013,330,1.0,,2.249013586236103e-05,7.112005421169599e-05,0.0002249013586236103
nphi_1_no_cut,1.4251026703029962e-34,-39684.51261272217,1656118982.9030085,330,1.0,,7.770594250053606e-06,2.457277660317738e-05,7.770594250053606e-05
nphi_1_no_cut,2.4244620170823406e-34,-114857.09003181722,13872829586.872587,330,1.0,,2.6848342182374178e-06,8.490191269587821e-06,2.6848342182374176e-05
nphi_1_no_cut,4.124626382901331e-34,-332423.1709979325,116206925013.0302,330,1.0,,9.276496719493618e-07,2.933485834067992e-06,9.276496719493618e-06
nphi_1_no_cut,7.017038286703837e-34,-962089.1741456378,973374778945.0956,330,1.0,,3.2052355832653655e-07,1.013584488053683e-06,3.205235583265365e-06
nphi_1_no_cut,1.1937766417144455e-33,-2784274.4947711197,8152175707060.446,330,1.0,,1.1075497265220193e-07,3.5023797577061793e-07,1.1075497265220192e-06
nphi_1_no_cut,2.0309176209047304e-33,-8056189.936164844,68250969837983.31,330,1.0,,3.827767815407286e-08,1.2104464650973982e-07,3.827767815407286e-07
nphi_1_no_cut,3.4551072945922324e-33,-23297989.099123534,570803081402890.6,330,1.0,,1.3236002652958559e-08,4.1855915499380255e-08,1.3236002652958558e-07
nphi_1_no_cut,5.878016072274876e-33,-67273536.76029076,4759243815452916.0,330,1.0,,4.583856600603466e-09,1.449542732550371e-08,4.583856600603466e-08
nphi_1_no_cut,1e-32,-193396254.40762478,3.933195655455958e+16,330,1.0,,1.5945099167982692e-09,5.042283088808108e-09,1.5945099167982694e-08
nphi_1_no_cut,1.7012542798525856e-32,-548858730.8604189,3.1678936076788454e+17,330,1.0,,5.618426531016071e-10,1.7767024704329444e-09,5.618426531016071e-09
nphi_1_no_cut,2.89426612471674e-32,-1499842672.2617881,2.36559745732495e+18,330,1.0,,2.0560306172617966e-10,6.501739689589183e-10,2.0560306172617963e-09
nphi_1_no_cut,4.9238826317067517e-32,-3654765863.9638386,1.4046513898508483e+19,330,1.0,,8.437537642702734e-11,2.6681836794348625e-10,8.437537642702734e-10
nphi_1_no_cut,8.376776400682924e-32,-6040875794.899543,3.83750757937236e+19,330,1.0,,5.1047605677468956e-11,1.614267030389446e-10,5.104760567746895e-10
nphi_1_no_cut,1.4251026703029963e-31,456820772.20893806,2.1945279711169434e+17,330,1.0,,6.750398937278561e-10,2.1346635756580363e-09,6.750398937278561e-09
nphi_1_no_cut,2.4244620170823406e-31,-324525738.507442,1.1075101810317974e+17,330,1.0,,9.502243086876978e-10,3.0048731035120488e-09,9.502243086876979e-09
nphi_1_no_cut,4.124626382901364e-31,4211369702.025738,1.865074439370753e+19,330,1.0,,7.322374128689452e-11,2.3155380126549554e-10,7.322374128689451e-10
nphi_1_no_cut,7.0170382867038365e-31,-4840490436.70322,2.463928870579605e+19,330,1.0,,6.370681846334274e-11,2.0145864882703117e-10,6.370681846334274e-10
nphi_1_no_cut,1.1937766417144357e-30,4675447428.029609,2.2987714227414495e+19,330,1.0,,6.595566526443804e-11,2.0857012682727601e-10,6.595566526443805e-10
nphi_1_no_cut,2.0309176209047306e-30,-4015721579.3411074,1.6958077755799357e+19,330,1.0,,7.67912414822334e-11,2.42835227435862e-10,7.67912414822334e-10
nphi_1_no_cut,3.4551072945922325e-30,-3750917803.223794,1.479532562789092e+19,330,1.0,,8.221247750605534e-11,2.599786810044942e-10,8.221247750605534e-10
nphi_1_no_cut,5.878016072274924e-30,5947875631.44551,3.720259131841251e+19,330,1.0,,5.1845779002889995e-11,1.6395074871486585e-10,5.184577900288999e-10
nphi_1_no_cut,1e-29,5847092972.245209,3.5952527929771483e+19,330,1.0,,5.2739412044304757e-11,1.667766645181201e-10,5.273941204430476e-10
nphi_1_no_cut,1.7012542798525858e-29,3012473655.0639086,9.54324225701852e+18,330,1.0,,1.0236512608375214e-10,3.2370695139496883e-10,1.0236512608375215e-09
nphi_1_no_cut,2.89426612471674e-29,-1429564348.450455,2.1491011235521083e+18,330,1.0,,2.1571064349698708e-10,6.821369489910677e-10,2.1571064349698705e-09
nphi_1_no_cut,4.923882631706752e-29,-1683875599.3636212,2.9817377309793603e+18,330,1.0,,1.8313243902408247e-10,5.791156207780039e-10,1.8313243902408247e-09
nphi_1_no_cut,8.376776400682924e-29,-6996192547.614638,5.147222482614087e+19,330,1.0,,4.407715245483611e-11,1.3938419453176409e-10,4.4077152454836113e-10
nphi_1_no_cut,1.4251026703029963e-28,-905708374.6202744,8.626332628671793e+17,330,1.0,,3.404763102183816e-10,1.0766806296201468e-09,3.4047631021838154e-09
nphi_1_no_cut,2.4244620170823407e-28,-175776521.27101412,3.2491604933083844e+16,330,1.0,,1.7543426351528886e-09,5.547718523424905e-09,1.7543426351528884e-08
nphi_1_no_cut,4.124626382901365e-28,5601892846.67588,3.30003866390467e+19,330,1.0,,5.5047865777651275e-11,1.7407663618861406e-10,5.504786577765127e-10
nphi_1_no_cut,7.017038286703837e-28,6999751049.4014,5.152459919533971e+19,330,1.0,,4.405474471138082e-11,1.3931333502522063e-10,4.405474471138082e-10
nphi_1_no_cut,1.1937766417144358e-27,10127134845.424482,1.0785061327620543e+20,330,1.0,,3.0450097705959116e-11,9.629166372549893e-11,3.045009770595912e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,1.2840377653538783e+20,330,1.0,,2.7906868210152436e-11,8.824926590622818e-11,2.790686821015244e-10
nphi_1_no_cut,3.455107294592232e-27,-4336727160.012378,1.9777602011702903e+19,330,1.0,,7.110713543798742e-11,2.248605058741149e-10,7.110713543798742e-10
nphi_1_no_cut,5.878016072274924e-27,13935403275.476799,2.0421541249754844e+20,330,1.0,,2.212869189564575e-11,6.997706803034962e-11,2.2128691895645748e-10
nphi_1_no_cut,1e-26,-2632126036.501822,7.285557594898971e+18,330,1.0,,1.1715709705696124e-10,3.7048327075340715e-10,1.1715709705696124e-09
nphi_1_Lcut_800,1e-35,-195.4023529707972,47853.98649102064,340,1.0,800.0,0.0014455760312259605,0.004571312789620722,0.014455760312259605
nphi_1_Lcut_800,1.7012542798525996e-35,-565.5464092138668,400862.14233576553,340,1.0,800.0,0.0004994620305208604,0.0015794376212184538,0.004994620305208603
nphi_1_Lcut_800,2.89426612471674e-35,-1636.841689175934,3357932.0211134264,340,1.0,800.0,0.00017256950367750467,0.0005457126863057179,0.0017256950367750465
nphi_1_Lcut_800,4.923882631706751e-35,-4737.453435648046,28128621.759373367,340,1.0,800.0,5.9624640481790776e-05,0.00018854966859113817,0.0005962464048179077
nphi_1_Lcut_800,8.376776400682855e-35,-13711.444315491368,235626945.32510316,340,1.0,800.0,2.06009630641611e-05,6.514596527575057e-05,0.00020600963064161098
nphi_1_Lcut_800,1.4251026703029962e-34,-39684.51261272217,1973788645.4620242,340,1.0,800.0,7.117863854252923e-06,2.2508661854424015e-05,7.117863854252922e-05
nphi_1_Lcut_800,2.4244620170823406e-34,-114857.09003181722,16533856444.903984,340,1.0,800.0,2.459307978475608e-06,7.777014679807273e-06,2.459307978475608e-05
nphi_1_Lcut_800,4.124626382901331e-34,-332423.1709979325,138497240525.99,340,1.0,800.0,8.497270423471658e-07,2.6870728432553926e-06,8.497270423471657e-06
nphi_1_Lcut_800,7.017038286703837e-34,-962089.1741456378,1160083367375.6978,340,1.0,800.0,2.93599559677594e-07,9.284433286037284e-07,2.93599559677594e-06
nphi_1_Lcut_800,1.1937766417144455e-33,-2784274.4947711197,9715891196538.273,340,1.0,800.0,1.014515481250923e-07,3.208179642254766e-07,1.014515481250923e-06
nphi_1_Lcut_800,2.0309176209047304e-33,-8056189.936164844,81342579065088.89,340,1.0,800.0,3.506235083059734e-08,1.1087688874458416e-07,3.5062350830597336e-07
nphi_1_Lcut_800,3.4551072945922324e-33,-23297989.099123534,680292088007389.0,340,1.0,800.0,1.2124177614554973e-08,3.834001601842074e-08,1.2124177614554972e-07
nphi_1_Lcut_800,5.878016072274876e-33,-67273536.76029076,5672141615972575.0,340,1.0,800.0,4.198812363711952e-09,1.3277810537005092e-08,4.1988123637119516e-08
nphi_1_Lcut_800,1e-32,-193396254.40762478,4.687644429696267e+16,340,1.0,800.0,1.4605709855392256e-09,4.6187309986608055e-09,1.4605709855392254e-08
nphi_1_Lcut_800,1.7012542798525856e-32,-548858730.8604189,3.775545415165638e+17,340,1.0,800.0,5.146478356223406e-10,1.6274593534425357e-09,5.1464783562234055e-09
nphi_1_Lcut_800,2.89426612471674e-32,-1499842672.2617881,2.8193562474703396e+18,340,1.0,800.0,1.8833239187265644e-10,5.955593155049783e-10,1.8833239187265643e-09
nphi_1_Lcut_800,4.9238826317067517e-32,-3654765863.9638386,1.6740856138610106e+19,340,1.0,800.0,7.728783960824861e-11,2.444056085958414e-10,7.728783960824861e-10
nphi_1_Lcut_800,8.376776400682924e-32,-6040875794.899543,4.5736018759729545e+19,340,1.0,800.0,4.675960365519096e-11,1.478668500371381e-10,4.675960365519097e-10
nphi_1_Lcut_800,1.4251026703029963e-31,456820772.20893806,2.61547294382599e+17,340,1.0,800.0,6.183365010611761e-10,1.9553517037724387e-09,6.183365010611761e-09
nphi_1_Lcut_800,2.4244620170823406e-31,-324525738.507442,1.319948048794376e+17,340,1.0,800.0,8.704054082085133e-10,2.7524635776675207e-09,8.704054082085133e-09
nphi_1_Lcut_800,4.124626382901364e-31,4211369702.025738,2.2228250441997607e+19,340,1.0,800.0,6.707294250701075e-11,2.1210326769167817e-10,6.707294250701074e-10
nphi_1_Lcut_800,7.0170382867038365e-31,-4840490436.70322,2.9365491719992648e+19,340,1.0,800.0,5.835544178703602e-11,1.8453610991240031e-10,5.835544178703601e-10
nphi_1_Lcut_800,1.1937766417144357e-30,4675447428.029609,2.739711928647934e+19,340,1.0,800.0,6.041538531827343e-11,1.9105022332244078e-10,6.041538531827344e-10
nphi_1_Lcut_800,2.0309176209047306e-30,-4015721579.3411074,2.0210903726606934e+19,340,1.0,800.0,7.034077246612459e-11,2.224370533686128e-10,7.034077246612459e-10
nphi_1_Lcut_800,3.4551072945922325e-30,-3750917803.223794,1.7633301732375994e+19,340,1.0,800.0,7.530662432990835e-11,2.381404557811617e-10,7.530662432990834e-10
nphi_1_Lcut_800,5.878016072274924e-30,5947875631.44551,4.433863332532501e+19,340,1.0,800.0,4.749073037209606e-11,1.5017887572075932e-10,4.749073037209606e-10
nphi_1_Lcut_800,1e-29,5847092972.245209,4.284878812212444e+19,340,1.0,800.0,4.830929818296952e-11,1.5276741442241738e-10,4.830929818296952e-10
nphi_1_Lcut_800,1.7012542798525858e-29,3012473655.0639086,1.1373786184600297e+19,340,1.0,800.0,9.37664491853446e-11,2.965155475321287e-10,9.37664491853446e-10
nphi_1_Lcut_800,2.89426612471674e-29,-1429564348.450455,2.561332512583885e+18,340,1.0,800.0,1.9759093615192303e-10,6.248374032449828e-10,1.97590936151923e-09
nphi_1_Lcut_800,4.923882631706752e-29,-1683875599.3636212,3.5536819141076403e+18,340,1.0,800.0,1.6774930286209468e-10,5.304698729496216e-10,1.6774930286209466e-09
nphi_1_Lcut_800,8.376776400682924e-29,-6996192547.614638,6.134540692264702e+19,340,1.0,800.0,4.037466893275364e-11,1.2767591360274116e-10,4.0374668932753645e-10
nphi_1_Lcut_800,1.4251026703029963e-28,-905708374.6202744,1.0280998871593836e+18,340,1.0,800.0,3.1187627918110695e-10,9.862393903908512e-10,3.1187627918110693e-09
nphi_1_Lcut_800,2.4244620170823407e-28,-175776521.27101412,3.872400567339834e+16,340,1.0,800.0,1.6069777457037375e-09,5.081709825626671e-09,1.6069777457037372e-08
nphi_1_Lcut_800,4.124626382901365e-28,5601892846.67588,3.9330379710901354e+19,340,1.0,800.0,5.042384166047628e-11,1.5945418802279176e-10,5.042384166047627e-10
nphi_1_Lcut_800,7.017038286703837e-28,6999751049.4014,6.140782751941882e+19,340,1.0,800.0,4.0354143441129284e-11,1.2761100629911346e-10,4.035414344112928e-10
nphi_1_Lcut_800,1.1937766417144358e-27,10127134845.424482,1.2853805679924219e+20,340,1.0,800.0,2.7892287622432614e-11,8.820315803940965e-11,2.7892287622432615e-10
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,1.5303363995969277e+20,340,1.0,800.0,2.5562689560978383e-11,8.083632213250138e-11,2.5562689560978385e-10
nphi_1_Lcut_800,3.455107294592232e-27,-4336727160.012378,2.3571257070393893e+19,340,1.0,800.0,6.513413167982951e-11,2.059722095255904e-10,6.513413167982952e-10
nphi_1_Lcut_800,5.878016072274924e-27,13935403275.476799,2.4338713979924903e+20,340,1.0,800.0,2.0269880412920784e-11,6.4098990004064e-11,2.0269880412920782e-10
nphi_1_Lcut_800,1e-26,-2632126036.501822,8.683042103330194e+18,340,1.0,800.0,1.0731589368537588e-10,3.39362653182269e-10,1.0731589368537589e-09
nphi_2_no_cut,1e-35,-195.4023529707972,45964.19832212563,356,2.0,,0.001474993665103324,0.004664339516046121,0.01474993665103324
nphi_2_no_cut,1.7012542798525996e-35,-565.5464092138668,385031.80949429615,356,2.0,,0.000509626138690976,0.0016115793534203454,0.00509626138690976
nphi_2_no_cut,2.89426612471674e-35,-1636.841689175934,3225324.882800204,356,2.0,,0.00017608131237377767,0.0005568180004927271,0.0017608131237377767
nphi_2_no_cut,4.923882631706751e-35,-4737.453435648046,27017802.358399093,356,2.0,,6.0838008582723666e-05,0.00019238667543027915,0.0006083800858272366
nphi_2_no_cut,8.376776400682855e-35,-13711.444315491368,226321868.64916512,356,2.0,,2.102019496608231e-05,6.647169295362591e-05,0.0002102019496608231
nphi_2_no_cut,1.4251026703029962e-34,-39684.51261272217,1895842319.489927,356,2.0,,7.262713179594704e-06,2.2966715640042794e-05,7.262713179594703e-05
nphi_2_no_cut,2.4244620170823406e-34,-114857.09003181722,15880922622.940145,356,2.0,,2.5093551708333274e-06,7.935277798154237e-06,2.509355170833327e-05
nphi_2_no_cut,4.124626382901331e-34,-332423.1709979325,133027885394.63153,356,2.0,,8.670190826739997e-07,2.7417550760796705e-06,8.670190826739998e-06
nphi_2_no_cut,7.017038286703837e-34,-962089.1741456378,1114270845089.6006,356,2.0,,2.9957434354684903e-07,9.473372541578079e-07,2.99574343546849e-06
nphi_2_no_cut,1.1937766417144455e-33,-2784274.4947711197,9332203700890.77,356,2.0,,1.0351609847358184e-07,3.2734664567079793e-07,1.0351609847358184e-06
nphi_2_no_cut,2.0309176209047304e-33,-8056189.936164844,78130302412370.39,356,2.0,,3.577587359061393e-08,1.1313324582860633e-07,3.577587359061393e-07
nphi_2_no_cut,3.4551072945922324e-33,-23297989.099123534,653426866662653.6,356,2.0,,1.2370905984716606e-08,3.912023963151263e-08,1.2370905984716605e-07
nphi_2_no_cut,5.878016072274876e-33,-67273536.76029076,5448144684804190.0,356,2.0,,4.284258664817727e-09,1.3548015466135906e-08,4.284258664817727e-08
nphi_2_no_cut,1e-32,-193396254.40762478,4.502525996880041e+16,356,2.0,,1.4902937684135748e-09,4.712722690942396e-09,1.4902937684135747e-08
nphi_2_no_cut,1.7012542798525856e-32,-548858730.8604189,3.62644642509415e+17,356,2.0,,5.251209766243228e-10,1.6605783332648979e-09,5.251209766243228e-09
nphi_2_no_cut,2.89426612471674e-32,-1499842672.2617881,2.7080178518411807e+18,356,2.0,,1.9216497710628083e-10,6.076790141699599e-10,1.921649771062808e-09
nphi_2_no_cut,4.9238826317067517e-32,-3654765863.9638386,1.607974775062126e+19,356,2.0,,7.886065578647455e-11,2.493792900597967e-10,7.886065578647455e-10
nphi_2_no_cut,8.376776400682924e-32,-6040875794.899543,4.3929870652074705e+19,356,2.0,,4.771116681815546e-11,1.5087595696961987e-10,4.771116681815546e-10
nphi_2_no_cut,1.4251026703029963e-31,456820772.20893806,2.5121860457483386e+17,356,2.0,,6.309197179991335e-10,1.9951433295883932e-09,6.3091971799913336e-09
nphi_2_no_cut,2.4244620170823406e-31,-324525738.507442,1.2678223558463974e+17,356,2.0,,8.881182555928461e-10,2.8084765192489684e-09,8.881182555928461e-09
nphi_2_no_cut,4.124626382901364e-31,4211369702.025738,2.1350440926412014e+19,356,2.0,,6.843788438701364e-11,2.1641959290623957e-10,6.843788438701364e-10
nphi_2_no_cut,7.0170382867038365e-31,-4840490436.70322,2.820582743921973e+19,356,2.0,,5.954298155261095e-11,1.882914403836395e-10,5.954298155261095e-10
nphi_2_no_cut,1.1937766417144357e-30,4675447428.029609,2.631518744159304e+19,356,2.0,,6.164484516504852e-11,1.9493811672997166e-10,6.164484516504852e-10
nphi_2_no_cut,2.0309176209047306e-30,-4015721579.3411074,1.94127606763433e+19,356,2.0,,7.177221505119878e-11,2.269636722772066e-10,7.177221505119878e-10
nphi_2_no_cut,3.4551072945922325e-30,-3750917803.223794,1.6936950029291596e+19,356,2.0,,7.683912255568386e-11,2.429866406847793e-10,7.683912255568385e-10
nphi_2_no_cut,5.878016072274924e-30,5947875631.44551,4.258766896838694e+19,356,2.0,,4.845717204550295e-11,1.5323503263442965e-10,4.845717204550295e-10
nphi_2_no_cut,1e-29,5847092972.245209,4.115665881833334e+19,356,2.0,,4.9292397802858574e-11,1.5587624838811256e-10,4.929239780285858e-10
nphi_2_no_cut,1.7012542798525858e-29,3012473655.0639086,1.0924627229552062e+19,356,2.0,,9.567460691107526e-11,3.025496720802845e-10,9.567460691107524e-10
