mass_eV,A_unit_saved,A_unit_reconstructed,A_unit_abs,rel_diff_A_unit,phi_unit_at_eval,dphi_dx_unit_at_eval,dotphi_phys_unit_at_eval,dotphi_phys_from_dx,rel_diff_dotphi,omega_phi_abs,kinetic_density,potential_density,rho_unit_at_eval,kinetic_fraction,potential_fraction,phi_amp_max,A_times_phi_amp_max
1e-35,-195.4023529707972,-504.97452010587386,195.4023529707972,1.5842806518370947,0.9999999552911042,-1.332008816031719e-07,-4.202576943036738e-24,-4.202576943036738e-24,-0.0,1.5192673808847405e-20,8.830826481072008e-48,1.1540866873101896e-40,1.1540867756184545e-40,7.651787255199876e-08,0.9999999234821274,113801412.34471868,22237063743.557957
1.7012542798525996e-35,-565.5464092138668,-868.7758175156481,565.5464092138668,0.5361706897286871,0.9999999234925828,-2.2916345320619008e-07,-7.230260288367936e-24,-7.230260288367936e-24,-0.0,2.58466005178224e-20,2.61383319187752e-47,3.3402337916394854e-40,3.340234053022805e-40,7.825299516098534e-08,0.9999999217470047,66892655.150037825,37830900922.88537
2.89426612471674e-35,-1636.841689175934,-1660.8489806989285,1636.841689175934,0.01466683777774551,0.9999998539490248,-4.3809447730638756e-07,-1.3822173900354376e-23,-1.3822173900354376e-23,-0.0,4.3971636692640543e-20,9.552624566581886e-47,9.66752416714786e-40,9.667525122410319e-40,9.881147910790445e-08,0.9999999011885208,39319612.53915709,64359981006.337135
4.923882631706751e-35,-4737.453435648046,-4967.238097181503,4737.453435648046,0.04850383537374522,0.9999995632493297,-1.310245304136766e-06,-4.133911606750363e-23,-4.133911606750363e-23,-0.0,7.480691336912192e-20,8.544612586212683e-46,2.798037143907656e-39,2.7980379983689147e-39,3.0537871863047146e-07,0.9999996946212812,23112135.777665466,109492667045.06538
8.376776400682855e-35,-13711.444315491368,-16497.54045906472,13711.444315491368,0.20319494281325157,0.9999985486834067,-4.351678839103978e-06,-1.3729837920444936e-22,-1.3729837920444936e-22,-0.0,1.2726545241240063e-19,9.425422466084386e-45,8.098247688866504e-39,8.09825711428897e-39,1.1638828371420437e-06,0.9999988361171629,13585358.508276984,186274886692.22675
1.4251026703029962e-34,-39684.51261272217,-42916.45897751158,39684.51261272217,0.08144099932207079,0.9999962260422856,-1.1320393294086145e-05,-3.571659832220003e-22,-3.571659832220003e-22,-0.0,2.1651039271613481e-19,6.378376978546911e-44,2.3438375077047462e-38,2.3438438860817248e-38,2.7213318329019935e-06,0.9999972786681671,7985507.894912078,316900988774.6308
2.4244620170823406e-34,-114857.09003181722,-116558.17955856604,114857.09003181722,0.014810487765949796,0.9999897523016158,-3.074541715888292e-05,-9.700384839862097e-22,-9.700384839862097e-22,-0.0,3.6833684769922433e-19,4.70487330207132e-43,6.783601668650079e-38,6.7836487173831e-38,6.935608693909934e-06,0.9999930643913062,4693914.871736833,539129403024.7632
4.124626382901331e-34,-332423.1709979325,-345246.40038898756,332423.1709979325,0.038575016755179256,0.9999696435344333,-9.106820853553772e-05,-2.873262915596188e-21,-2.873262915596188e-21,-0.0,6.266220375965237e-19,4.1278198910701535e-42,1.9632758900080956e-37,1.9633171682070064e-37,2.1024722637350913e-05,0.9999789752773626,2759126.7522270894,917197664160.5559
7.017038286703837e-34,-962089.1741456378,-1114854.8345845004,962089.1741456378,0.15878534396203223,0.9999019237454442,-0.0002940735441366014,-9.2782170903901e-21,-9.2782170903901e-21,-0.0,1.0659712288837951e-18,4.3042656188203465e-41,5.681473304040142e-37,5.681903730602023e-37,7.575393429561486e-05,0.9999242460657045,1621884.5945383578,1560397610118.9412
1.1937766417144455e-33,-2784274.4947711197,-2852052.983216363,2784274.4947711197,0.024343321239529956,0.9997491956530187,-0.0007523072088146671,-2.3735795828017683e-20,-2.3735795828017683e-20,-0.0,1.8132111175908977e-18,2.816940017946708e-40,1.6438672784776162e-36,1.644148972479411e-36,0.00017133119109630945,0.9998286688089035,953446.4400904034,2654656605274.031
2.0309176209047304e-33,-8056189.936164844,-9076477.86693361,8056189.936164844,0.12664645928823215,0.9992012645595958,-0.0023941700137142643,-7.55376659391864e-20,-7.55376659391864e-20,-0.0,3.083042528835613e-18,2.852969487770061e-39,4.752575617304546e-36,4.755428586792316e-36,0.0005999395082272652,0.9994000604917728,560624.4730209175,4516497237518.835
3.4551072945922324e-33,-23297989.099123534,-25699843.36662517,23297989.099123534,0.103092771538467,0.9977378623447974,-0.006779038658782583,-2.138832057300435e-19,-2.138832057300435e-19,-0.0,5.237357559348791e-18,2.2873012846680058e-38,1.3714957102233962e-35,1.3737830115080642e-35,0.001664965475266091,0.9983350345247339,329843.41139739245,7684688203154.169
5.878016072274876e-33,-67273536.76029076,-71596390.80156295,67273536.76029076,0.06425786794405351,0.9936910887933693,-0.01888551203013952,-5.958505413782285e-19,-5.958505413782285e-19,-0.0,8.873938148191752e-18,1.7751893383036398e-37,3.937338912896643e-35,3.955090806279679e-35,0.004488365565425427,0.9955116344345747,194396.59546763648,13077746511267.414
1e-32,-193396254.40762478,-199625671.0320676,193396254.40762478,0.03221063739586684,0.9823501985066412,-0.05265674665430882,-1.6613555910538022e-18,-1.6613555910538022e-18,-0.0,1.492452679922701e-17,1.3800511999628642e-36,1.113707500904226e-34,1.1275080129038548e-34,0.01223983496497372,0.9877601650350262,115134.92058832839,22266662393302.03
1.7012542798525856e-32,-548858730.8604189,-559510301.1308426,548858730.8604189,0.019406761105404492,0.9500282200952197,-0.14758618981618893,-4.656443042771793e-18,-4.656443042771793e-18,-0.0,2.4555001764098562e-17,1.0841230905288918e-35,3.0147405581744174e-34,3.123152867227307e-34,0.03471245682224199,0.9652875431777579,69178.36019616321,37969146980271.06
2.89426612471674e-32,-1499842672.2617881,-1571084834.8959134,1499842672.2617881,0.04749975710898453,0.8543118284065944,-0.41441672153603615,-1.3075124862347377e-17,-1.3075124862347377e-17,-0.0,3.7565494827397385e-17,8.547944508298726e-35,7.055832008136099e-34,7.910626458965971e-34,0.10805648013641717,0.8919435198635828,43467.17798717008,65193928387955.945
4.9238826317067517e-32,-3654765863.9638386,-3660746238.709027,3654765863.9638386,0.001636322261886872,0.6314141606557122,-0.9656222381662023,-3.046602773914506e-17,-3.046602773914506e-17,-0.0,4.723416504576194e-17,4.640894231011782e-34,1.1155331737851395e-33,1.5796225968863176e-33,0.29379766028668547,0.7062023397133146,30760.275110640345,112421603440504.81
8.376776400682924e-32,-6040875794.899543,-5920126564.195402,6040875794.899543,-0.019988696143379104,0.1612972805491514,-1.5615957759370758,-4.926939163847428e-17,-4.926939163847428e-17,-0.0,2.052760117402604e-17,1.2137364762126796e-33,2.1069120497993764e-34,1.4244276811926173e-33,0.8520871169791265,0.14791288302087346,32392.66516449916,195680066924508.6
1.4251026703029963e-31,456820772.20893806,494817097.80971855,456820772.20893806,0.08317556449338066,-0.20714154786090996,0.1305215828449297,4.118043274420033e-18,4.118043274420033e-18,0.0,4.484846713141217e-17,8.479140204998034e-36,1.005692502018679e-33,1.0141716422236771e-33,0.0083606559796985,0.9916393440203014,38389.384829169794,17537068422287.438
2.4244620170823406e-31,-324525738.507442,-352318668.2839432,324525738.507442,0.08564168100911304,0.1255706995604304,-0.09293371319178134,-2.9321208357623143e-18,-2.9321208357623143e-18,-0.0,4.62527896241128e-17,4.2986662977557466e-36,1.0696602740062183e-33,1.073958940303974e-33,0.004002635609643558,0.9959973643903564,37305.51548322822,12106599962595.45
