mass_eV,A_unit,phi_unit_at_eval,dphi_dx_unit_at_eval,dotphi_phys_unit_at_eval,rho_unit_at_eval,rho_phi_max_at_eval,phi_amp_max
1e-35,-195.4023529707972,0.9999999828212506,-5.1542730666068726e-08,-1.6262076412053935e-24,1.1540867640773006e-40,1.4946302525541625e-24,113801412.91373985
1.7012542798525996e-35,-565.5464092138668,0.9999999502801435,-1.4917837889919907e-07,-4.706677673719265e-24,3.3402340813570066e-40,1.4946302525541625e-24,66892654.86632268
2.89426612471674e-35,-1636.841689175934,0.9999998560975297,-4.3176189562464894e-07,-1.362237671098699e-23,9.667525136535052e-40,1.4946302525541625e-24,39319612.510433145
4.923882631706751e-35,-4737.453435648046,0.9999995835077645,-1.2496332964482877e-06,-3.942676666773285e-23,2.7980380345103778e-39,1.4946302525541625e-24,23112135.628399014
8.376776400682855e-35,-13711.444315491368,0.9999987945607712,-3.616769556003199e-06,-1.1411149957414633e-22,8.098258181941541e-39,1.4946302525541625e-24,13585357.612748396
1.4251026703029962e-34,-39684.51261272217,0.9999965111406531,-1.0467878785049416e-05,-3.302685800204533e-22,2.3438442980252227e-38,1.4946302525541625e-24,7985507.19316363
2.4244620170823406e-34,-114857.09003181722,0.9999899023333667,-3.0296708133719915e-05,-9.558814139984864e-22,6.783649389646244e-38,1.4946302525541625e-24,4693914.639152138
4.124626382901331e-34,-332423.1709979325,0.9999707748332449,-8.7685730030424e-05,-2.7665434554483372e-21,1.9633186010622762e-37,1.4946302525541625e-24,2759125.7454037378
7.017038286703837e-34,-962089.1741456378,0.9999154159938327,-0.0002537774106903416,-8.00684711688423e-21,5.681947179814144e-37,1.4946302525541625e-24,1621878.3933418072
1.1937766417144455e-33,-2784274.4947711197,0.9997552031379662,-0.0007344287732596535,-2.3171719223292875e-20,1.6441554987936006e-36,1.4946302525541625e-24,953444.5477824039
2.0309176209047304e-33,-8056189.936164844,0.9992915912513224,-0.002125041084518031,-6.704646814130843e-20,4.755682525770468e-36,1.4946302525541625e-24,560609.5050004976
3.4551072945922324e-33,-23297989.099123534,0.9979505016027498,-0.006145483710611174,-1.9389412318579856e-19,1.373960109151469e-35,1.4946302525541625e-24,329822.1530024331
5.878016072274876e-33,-67273536.76029076,0.9940751122870775,-0.01774524069680855,-5.598742178240128e-19,3.9560557188912856e-35,1.4946302525541625e-24,194372.8866046758
1e-32,-193396254.40762478,0.9829095239975204,-0.05101356714086472,-1.6095121779070076e-18,1.1279287432775087e-34,1.4946302525541625e-24,115113.44526174817
1.7012542798525856e-32,-548858730.8604189,0.9510161563651128,-0.14477654597479056,-4.567796899563948e-18,3.125337730504444e-34,1.4946302525541625e-24,69154.1753405218
2.89426612471674e-32,-1499842672.2617881,0.8621808748201194,-0.3956246469018696,-1.2482222333333685e-17,7.965442221154684e-34,1.4946302525541625e-24,43317.355803863546
4.9238826317067517e-32,-3654765863.9638386,0.6325353151697894,-0.9640447502798645,-3.041625694078958e-17,1.5820725703124345e-33,1.4946302525541625e-24,30736.448436477724
8.376776400682924e-32,-6040875794.899543,0.1623558344419958,-1.5934466978000723,-5.0274309535599565e-17,1.4772188068695865e-33,1.4946302525541625e-24,31808.593801022034
1.4251026703029963e-31,456820772.20893806,-0.21688764121208756,0.12049900969283484,3.8018243850858204e-18,1.1097822539891076e-33,1.4946302525541625e-24,36698.473199911256
2.4244620170823406e-31,-324525738.507442,0.12859425083225898,-0.08560256557706838,-2.7008182230410347e-18,1.1254392255901694e-33,1.4946302525541625e-24,36442.30682590944
4.124626382901364e-31,4211369702.025738,0.04724988815075175,1.1108642807346083,3.504851136771444e-17,1.0525372247231656e-33,1.4946302525541625e-24,37683.23269184577
7.0170382867038365e-31,-4840490436.70322,-0.022472727394790046,-1.2768121318782786,-4.028427711167235e-17,1.0983955210812829e-33,1.4946302525541625e-24,36888.20371329882
1.1937766417144357e-30,4675447428.029609,0.014974913878197063,1.2332775110559135,3.8910730694487366e-17,1.1258414857307481e-33,1.4946302525541625e-24,36435.795875070624
2.0309176209047306e-30,-4015721579.3411074,0.011503948510301612,-1.059256721564822,-3.3420258343838186e-17,1.1884225920762763e-33,1.4946302525541625e-24,35463.48688785832
3.4551072945922325e-30,-3750917803.223794,-0.007107722966415913,-0.9894074617976563,-3.1216467460079614e-17,1.1832552223238576e-33,1.4946302525541625e-24,35540.83846494142
