mass_eV,A_unit,phi_unit_at_eval,dphi_dx_unit_at_eval,dotphi_phys_unit_at_eval,rho_unit_at_eval,rho_phi_max_at_eval,phi_amp_max
1e-35,-195.4023529707972,0.9999999828212506,-5.1542730666068726e-08,-1.6262076412053935e-24,1.1540867640773006e-40,1.4946302525541625e-24,113801412.91373985
1.3433993325989098e-35,-352.64646381334484,0.9999999689970823,-9.30201782544002e-08,-2.9348488663441446e-24,2.082805465554653e-40,1.4946302525541625e-24,84711530.81650886
1.8047217668271665e-35,-636.4295021068289,0.999999944048477,-1.6787573903951368e-07,-5.296591897075796e-24,3.758884234741204e-40,1.4946302525541625e-24,63057595.883484736
2.4244620170823405e-35,-1148.5779854761133,0.9999998990230061,-3.029689502419587e-07,-9.558873105180564e-24,6.7837397902518294e-40,1.4946302525541625e-24,46938833.63325474
3.2570206556597696e-35,-2072.8634195196155,0.9999998177647067,-5.467745874882741e-07,-1.7251104097511664e-23,1.2242761533803945e-39,1.4946302525541625e-24,34940345.01617044
4.375479375074198e-35,-3740.9412851534585,0.999999671115969,-9.86775881491347e-07,-3.113343934055115e-23,2.209477390681199e-39,1.4946302525541625e-24,26008907.093789056
5.878016072274876e-35,-6751.357127656812,0.9999994064558875,-1.7808556384848874e-06,-5.618718701479929e-23,3.987490533464618e-39,1.4946302525541625e-24,19360521.51486536
7.896522868499733e-35,-12184.316774373507,0.9999989288178395,-3.2139477764909678e-06,-1.0140220289115186e-22,7.196306378747508e-39,1.4946302525541625e-24,14411595.42710237
1.0608183551394396e-34,-21989.290121125094,0.999998066815069,-5.800278456322277e-06,-1.83002666426438e-22,1.2987315838800387e-38,1.4946302525541625e-24,10727713.910188183
1.4251026703029962e-34,-39684.51261272217,0.9999965111406531,-1.0467878785049416e-05,-3.302685800204533e-22,2.3438442980252227e-38,1.4946302525541625e-24,7985507.19316363
1.9144819761699693e-34,-71619.38677085323,0.9999937035855402,-1.8891577847840865e-05,-5.960419219855152e-22,4.2299709914500157e-38,1.4946302525541625e-24,5944265.374266734
2.5719138090593364e-34,-129252.67291273698,0.9999886367408942,-3.4093938002918096e-05,-1.075686557205006e-21,7.633869158837065e-38,1.4946302525541625e-24,4424808.993922208
3.4551072945922322e-34,-233263.83163929026,0.9999794925349585,-6.152973424079483e-05,-1.9413042865730167e-21,1.3776841897429491e-37,1.4946302525541625e-24,3293760.727362518
4.641588833612753e-34,-420972.14712059277,0.9999629899145969,-0.00011104295146433643,-3.503479420662147e-21,2.486281947925401e-37,1.4946302525541625e-24,2451837.571960196
