case_name,mass_eV,A_unit,phi_amp_max,Rtau_max_unit,L_peak,nphi,Lcut,spectrum_ratio_at_peak,phi_needed_target_1,ratio_phi_needed_over_phi_amp_max,phi_needed_target_0.1,phi_needed_target_10
nphi_1_Lcut_800,1e-35,-195.4023529707972,113801412.91373985,47853.98649102064,340,1.0,800.0,1.2533101145711985,0.004571312789620722,4.0169209437546476e-11,0.0014455760312259605,0.014455760312259605
nphi_1_Lcut_800,1.7012542798525996e-35,-565.5464092138668,66892654.86632268,400862.14233576553,340,1.0,800.0,1.2533101145711985,0.0015794376212184538,2.3611525426442995e-11,0.0004994620305208604,0.004994620305208603
nphi_1_Lcut_800,2.89426612471674e-35,-1636.841689175934,39319612.510433145,3357932.0211134264,340,1.0,800.0,1.2533101145711985,0.0005457126863057179,1.3878892783109636e-11,0.00017256950367750467,0.0017256950367750465
nphi_1_Lcut_800,4.923882631706751e-35,-4737.453435648046,23112135.628399014,28128621.759373367,340,1.0,800.0,1.2533101145711985,0.00018854966859113817,8.158037475319154e-12,5.9624640481790776e-05,0.0005962464048179077
nphi_1_Lcut_800,8.376776400682855e-35,-13711.444315491368,13585357.612748396,235626945.32510316,340,1.0,800.0,1.2533101145711985,6.514596527575057e-05,4.795307354634381e-12,2.06009630641611e-05,0.00020600963064161098
nphi_1_Lcut_800,1.4251026703029962e-34,-39684.51261272217,7985507.19316363,1973788645.4620242,340,1.0,800.0,1.2533101145711985,2.2508661854424015e-05,2.8186890713333295e-12,7.117863854252923e-06,7.117863854252922e-05
nphi_1_Lcut_800,2.4244620170823406e-34,-114857.09003181722,4693914.639152138,16533856444.903984,340,1.0,800.0,1.2533101145711985,7.777014679807273e-06,1.6568291666275457e-12,2.459307978475608e-06,2.459307978475608e-05
nphi_1_Lcut_800,4.124626382901331e-34,-332423.1709979325,2759125.7454037378,138497240525.99,340,1.0,800.0,1.2533101145711985,2.6870728432553926e-06,9.738856040655726e-13,8.497270423471658e-07,8.497270423471657e-06
nphi_1_Lcut_800,7.017038286703837e-34,-962089.1741456378,1621878.3933418072,1160083367375.6978,340,1.0,800.0,1.2533101145711985,9.284433286037284e-07,5.724494095335426e-13,2.93599559677594e-07,2.93599559677594e-06
nphi_1_Lcut_800,1.1937766417144455e-33,-2784274.4947711197,953444.5477824039,9715891196538.273,340,1.0,800.0,1.2533101145711985,3.208179642254766e-07,3.364830864801316e-13,1.014515481250923e-07,1.014515481250923e-06
