template_name,mass_eV,A_unit,phi_amp_max,A_tau_eff,L_peak_template,sigma_log,L_at_window_peak,max_shape_in_window,D_peak_limit,C_limit_at_window_peak
Lpeak_20_siglog_0.3,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,20.0,0.3,20,1.0,2.4929984782915053e-33,3.729517002291013e-35
Lpeak_20_siglog_0.5,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,20.0,0.5,20,1.0,2.4929984782915053e-33,3.729517002291013e-35
Lpeak_20_siglog_0.8,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,20.0,0.8,20,1.0,2.4929984782915053e-33,3.729517002291013e-35
Lpeak_50_siglog_0.3,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,50.0,0.3,50,1.0,2.4929984782915053e-33,6.142733886126375e-36
Lpeak_50_siglog_0.5,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,50.0,0.5,50,1.0,2.4929984782915053e-33,6.142733886126375e-36
Lpeak_50_siglog_0.8,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,50.0,0.8,50,1.0,2.4929984782915053e-33,6.142733886126375e-36
Lpeak_100_siglog_0.3,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,100.0,0.3,100,1.0,2.4929984782915053e-33,1.550888258378441e-36
Lpeak_100_siglog_0.5,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,100.0,0.5,100,1.0,2.4929984782915053e-33,1.550888258378441e-36
Lpeak_100_siglog_0.8,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,100.0,0.8,100,1.0,2.4929984782915053e-33,1.550888258378441e-36
Lpeak_300_siglog_0.3,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,300.0,0.3,100,0.0012244396055465887,2.0360322117958877e-30,1.2666106611980472e-33
Lpeak_300_siglog_0.5,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,300.0,0.5,100,0.08946588302508399,2.786535374152101e-32,1.733496843644421e-35
Lpeak_300_siglog_0.8,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,300.0,0.8,100,0.38948540883852695,6.400749352140824e-33,3.9818905231990574e-36
Lpeak_600_siglog_0.3,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,600.0,0.3,100,1.795195809217216e-08,1.388705602749018e-25,8.639103603159012e-29
Lpeak_600_siglog_0.5,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,600.0,0.5,100,0.0016273473358526908,1.531940000371976e-30,9.530161288928604e-34
Lpeak_600_siglog_0.8,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,600.0,0.8,100,0.08142063319517609,3.061875571902587e-32,1.9047853075040026e-35
Lpeak_20_siglog_0.3,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,20.0,0.3,20,1.0,2.4500672691050914e-33,3.6652920635339817e-35
Lpeak_20_siglog_0.5,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,20.0,0.5,20,1.0,2.4500672691050914e-33,3.6652920635339817e-35
Lpeak_20_siglog_0.8,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,20.0,0.8,20,1.0,2.4500672691050914e-33,3.6652920635339817e-35
Lpeak_50_siglog_0.3,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,50.0,0.3,50,1.0,2.4500672691050914e-33,6.03695163405597e-36
Lpeak_50_siglog_0.5,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,50.0,0.5,50,1.0,2.4500672691050914e-33,6.03695163405597e-36
Lpeak_50_siglog_0.8,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,50.0,0.8,50,1.0,2.4500672691050914e-33,6.03695163405597e-36
Lpeak_100_siglog_0.3,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,100.0,0.3,100,1.0,2.4500672691050914e-33,1.52418085810324e-36
Lpeak_100_siglog_0.5,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,100.0,0.5,100,1.0,2.4500672691050914e-33,1.52418085810324e-36
Lpeak_100_siglog_0.8,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,100.0,0.8,100,1.0,2.4500672691050914e-33,1.52418085810324e-36
Lpeak_300_siglog_0.3,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,300.0,0.3,100,0.0012244396055465887,2.0009702871473057e-30,1.2447987235947394e-33
Lpeak_300_siglog_0.5,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,300.0,0.5,100,0.08946588302508399,2.738549250576506e-32,1.7036447934861356e-35
Lpeak_300_siglog_0.8,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,300.0,0.8,100,0.38948540883852695,6.290523889999796e-33,3.913319532684049e-36
Lpeak_600_siglog_0.3,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,600.0,0.3,100,1.795195809217216e-08,1.3647911033022232e-25,8.490332086770244e-29
Lpeak_600_siglog_0.5,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,600.0,0.5,100,0.0016273473358526908,1.5055589025936588e-30,9.366045124623662e-34
Lpeak_600_siglog_0.8,5.878016072274924e-27,13935403275.476799,14497.44448872209,202027735414180.88,600.0,0.8,100,0.08142063319517609,3.0091478940380557e-32,1.8719835480148817e-35
Lpeak_20_siglog_0.3,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,20.0,0.3,20,1.0,8.698125684113892e-32,1.3012365594863285e-33
Lpeak_20_siglog_0.5,1e-26,-2632126036.501822,12881.91649163101,-33906827797664.184,20.0,0.5,20,1.0,8.698125684113892e-32,1.3012365594863285e-33
