mass_eV,tau,delta_y,b,Rbar_Mpc,siglnR,A_model,z_re,Reff_Mpc,L_peak_surrogate,siglnL_surrogate,D_peak_surrogate,A_tau_eff,max_patchy_budget_fraction,L_at_max_fraction,min_scale_factor_to_fit
2.0309176209047306e-27,0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,200280650500282.38,1.370338500789686e+21,100,7.297467008507236e-22
5.878016072274924e-27,0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,202027735414180.88,1.3943502042949073e+21,100,7.171799429725607e-22
1e-26,0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,-33906827797664.184,3.927572354412323e+19,100,2.5461020441204034e-20
2.0309176209047306e-27,0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,200280650500282.38,3.4661401161962034e+25,100,2.885053594132876e-26
5.878016072274924e-27,0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,202027735414180.88,3.526875422640338e+25,100,2.835370916649407e-26
1e-26,0.068,14.7,1.0,5.0,0.541,0.05387661218976823,9.638258663672683,16.121631029241158,592.3033369988411,0.541,1.924164721063151e-05,-33906827797664.184,9.934418458684957e+23,100,1.0066014474413156e-24
2.0309176209047306e-27,0.068,14.7,1.0,5.0,0.693,0.05387661218976823,9.638258663672683,34.138777641498244,279.70819449833493,0.693,1.924164721063151e-05,200280650500282.38,2.5653889846095095e+27,100,3.898044335573597e-28
5.878016072274924e-27,0.068,14.7,1.0,5.0,0.693,0.05387661218976823,9.638258663672683,34.138777641498244,279.70819449833493,0.693,1.924164721063151e-05,202027735414180.88,2.610340914106132e+27,100,3.830917236120606e-28
1e-26,0.068,14.7,1.0,5.0,0.693,0.05387661218976823,9.638258663672683,34.138777641498244,279.70819449833493,0.693,1.924164721063151e-05,-33906827797664.184,7.352745944494628e+25,100,1.3600361110650785e-26
2.0309176209047306e-27,0.068,14.7,1.0,6.0,0.409,0.05387661218976823,9.638258663672683,11.715156950049437,815.0890250295199,0.409,1.924164721063151e-05,200280650500282.38,1.489743151204976e+22,100,6.712566519880637e-23
5.878016072274924e-27,0.068,14.7,1.0,6.0,0.409,0.05387661218976823,9.638258663672683,11.715156950049437,815.0890250295199,0.409,1.924164721063151e-05,202027735414180.88,1.51584711808984e+22,100,6.596971344050362e-23
1e-26,0.068,14.7,1.0,6.0,0.409,0.05387661218976823,9.638258663672683,11.715156950049437,815.0890250295199,0.409,1.924164721063151e-05,-33906827797664.184,4.2698019594982975e+20,100,2.3420289968612505e-21
2.0309176209047306e-27,0.068,14.7,1.0,6.0,0.541,0.05387661218976823,9.638258663672683,19.345957235089386,493.586114165701,0.541,1.924164721063151e-05,200280650500282.38,9.91811946096188e+25,100,1.008255651624323e-26
5.878016072274924e-27,0.068,14.7,1.0,6.0,0.541,0.05387661218976823,9.638258663672683,19.345957235089386,493.586114165701,0.541,1.924164721063151e-05,202027735414180.88,1.009190932652338e+26,100,9.908927712735364e-27
1e-26,0.068,14.7,1.0,6.0,0.541,0.05387661218976823,9.638258663672683,19.345957235089386,493.586114165701,0.541,1.924164721063151e-05,-33906827797664.184,2.8426649167475493e+24,100,3.5178258053156526e-25
2.0309176209047306e-27,0.068,14.7,1.0,6.0,0.693,0.05387661218976823,9.638258663672683,40.96653316979789,233.0901620819458,0.693,1.924164721063151e-05,200280650500282.38,3.6619301214647773e+27,100,2.7308003343329735e-28
5.878016072274924e-27,0.068,14.7,1.0,6.0,0.693,0.05387661218976823,9.638258663672683,40.96653316979789,233.0901620819458,0.693,1.924164721063151e-05,202027735414180.88,3.726096150721622e+27,100,2.683774007834803e-28
1e-26,0.068,14.7,1.0,6.0,0.693,0.05387661218976823,9.638258663672683,40.96653316979789,233.0901620819458,0.693,1.924164721063151e-05,-33906827797664.184,1.0495578647587152e+26,100,9.527821510154582e-27
