mass_eV,z_rei,delta_y,R_eff_Mpc,m_best_eV,m_res_fid_eV,m_res_min_eV,m_res_max_eV,phi_unit_at_zrei,dphi_dx_unit_at_zrei,A_unit_thinshell,A_eff_visibility,Aeff_over_Aunit,lambda_osc_Mpc,N_osc_patchy,g_norm_z
2.3304714490760004e-30,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.008193287711183604,1.2438704453570262,4715606035.471514,-365578878.2492201,-0.07752532240803824,149.9999999999997,6.158735873857151,0.04952111656215679
2.811062864337915e-30,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.009175325101121595,-0.928002714647727,-3518127807.0086365,606979037.2332025,-0.17252898999974062,124.35535391120935,7.428794595672803,0.04952111656215679
3.3907621697715914e-30,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.008818851910262479,-0.5817910586983115,-2205613484.9266057,35695795.26586039,-0.016184066478469237,103.0950269758811,8.960765695271554,0.04952111656215679
4.090007462235137e-30,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.005446458250760438,1.133560615633112,4297413207.786297,-352795192.027657,-0.08209478003847585,85.46945710714263,10.808660922234505,0.04952111656215679
4.933451596891547e-30,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.006013099792549133,0.6231329066860822,2362343527.525793,-145609667.89461356,-0.06163780423887725,70.85723058105114,13.037630366062022,0.04952111656215679
5.9508313575474094e-30,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.0038451316977131562,-1.1247259899477648,-4263920480.019944,55899847.57986892,-0.013109964841466145,58.74317324049868,15.726259412245678,0.04952111656215679
6.991414347227986e-30,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.004326716994797549,-0.6010736766601458,-2278715334.0620418,-164167128.55503774,0.07204371959107027,50.0,18.476207621571415,0.04952111656215679
7.178015867892993e-30,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.0035115601625084225,-1.0056740421129433,-3812585627.7127285,91673562.61039336,-0.024044984575307956,48.70018732126472,18.96933937819153,0.04952111656215679
8.65827120682492e-30,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.0035815313741310315,0.5406359588028936,2049591418.334645,-412082352.1932263,-0.20105585362377038,40.37419353252052,22.88120951157729,0.04952111656215679
1.0239629671677533e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.003231125633234842,-0.15381687279441736,-583131287.0356972,-427984007.7675906,0.7339410820215362,34.138999999999996,27.06026483138261,0.04952111656215679
1.0443785813605144e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.0029839026562313246,-0.5636006384462371,-2136652239.1243353,46955225.78121989,-0.021976073092953845,33.471647504108404,27.599788177895327,0.04952111656215679
1.2597510463114515e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.0025389092095937783,-0.48698339480802083,-1846190529.168793,-234613574.7132917,0.12707982789778546,27.749190475764376,33.29143536224632,0.04952111656215679
1.5195377682060886e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.0007741734661721224,-1.5254258439542085,-5783003642.593991,-152164062.43467772,0.026312288879421122,23.005069349088302,40.15681791957657,0.04952111656215679
1.832897885471477e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.0005607057706611027,-1.5668863878956323,-5940183670.444876,98348210.01562387,-0.016556425772649267,19.07202360438531,48.437984360828665,0.04952111656215679
2.210879340321981e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.0013253689036318867,0.8789634259178147,3332216189.948204,761903251.5513864,0.2286476051132893,15.811388300841857,58.42689860632818,0.04952111656215679
2.666808389167418e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.0008093257377740502,1.3193414144191118,5001722132.642633,439042776.5037583,0.08777832211798467,13.108205253191658,70.4757335756271,0.04952111656215679
3.216759438123831e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.0009685425610312965,0.8014407500265943,3038321918.496475,141413465.08593047,0.04654327911240868,10.86717002267617,85.00928752848127,0.04952111656215679
3.8801217683244436e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.00014422356326737162,1.7033928904014684,6457690047.013591,631758340.2385288,0.09783039068756334,9.009271827887884,102.53996091215144,0.04952111656215679
4.6802831317116485e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.0006010817312125049,1.1091861833236911,4205007909.036309,370916763.1131341,0.08820833899409708,7.469007910928588,123.6858217443925,0.04952111656215679
5.645454318420495e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.0004291526090959562,1.3412914750668294,5084936456.815785,1011154187.3877131,0.1988528659059986,6.19207414752766,149.19239645207173,0.04952111656215679
6.809663767011647e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-8.884856153909785e-05,-1.7848921613456759,-6766659888.194055,17631611.944352828,-0.0026056595477947845,5.133450480401691,179.9589544314223,0.04952111656215679
6.991414347227986e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.0005113554262897925,0.5698410061238935,2160309940.450193,741085275.5817573,0.3430458110225242,5.0,184.76207621571416,0.04952111656215679
8.21395728390647e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.0004321972622295918,0.685152643008459,2597464993.7619395,-149818135.75666308,-0.057678596676554124,4.255813675173474,217.07021302827943,0.04952111656215679
9.9078451697841e-29,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.00028868461020645605,-1.2763906802268747,-4838892681.922215,-390208854.77023375,0.08064011343504855,3.528221438375755,261.8345807410133,0.04952111656215679
1.1951047773373337e-28,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.0001983015978313676,1.5411173653314596,5842491375.571727,-102449438.38526548,-0.01753523142774689,2.9250215043088934,315.83028696291353,0.04952111656215679
1.4415601014540698e-28,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-0.0002455906580789412,-0.9667683384881984,-3665091190.882972,-114622398.23140529,0.0312740917651741,2.4249472291082075,380.9610246315789,0.04952111656215679
1.7388396109788946e-28,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.00017140522330054485,-1.401928917934128,-5314817545.017474,-238061695.9280579,0.04479207308842344,2.010367805945055,459.52306754350167,0.04952111656215679
2.097424304168402e-28,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,0.00015453114402770463,-1.338395138627706,-5073956228.413328,629521548.4395832,-0.12406917208200675,1.6666666666666619,554.2862286471441,0.04952111656215679
5.878016072274924e-27,7.7,19.0,34.139,5.878016072274924e-27,1.0239629671677533e-29,6.991414347227986e-30,6.991414347227986e-29,-3.112069181339597e-06,3.6758448751039223,13935403275.4768,206524312.06903216,0.014820117364846473,0.05947086790222191,15533.830489870083,0.04952111656215679
